FECHA,GRAVEDAD,ORIGEN_ICAO,DESTINO_ICAO,COMPAÑIA,ID_VUELO,HORA_PROGRAMADA,RETRASO_MIN,ORIGEN
01/01/2026,0,LEMD,LEPP,Iberia,IB1055,20:20,18,Madrid
01/01/2026,2,LEMD,EBCI,Ryanair,FR5376,20:30,52,Madrid
01/01/2026,0,LEMD,EGGD,easyJet,U22708,20:30,4,Madrid
01/01/2026,0,LEMD,ELLX,Luxair,LG3838,20:30,14,Madrid
01/01/2026,1,LEMD,ZGGG,China Southern Airlines,CZ378,20:30,23,Madrid
01/01/2026,1,LEMD,EHAM,KLM Royal Dutch Airlines,KL1508,20:30,34,Madrid
01/01/2026,0,LEMD,EIDW,Aer Lingus,EI595,20:30,13,Madrid
01/01/2026,2,LEMD,LPPT,Ryanair,FR9744,20:40,69,Madrid
01/01/2026,1,LEMD,LRCL,Wizz Air Malta,W43402,20:45,30,Madrid
01/01/2026,1,LEMD,LFSB,easyJet,U21018,20:45,42,Madrid
01/01/2026,1,LEMD,LRTR,Wizz Air Malta,W43562,20:50,44,Madrid
01/01/2026,0,LEMD,LIML,Iberia,IB667,20:50,16,Madrid
01/01/2026,0,LEMD,LFMN,Iberia,IB1217,22:00,19,Madrid
01/01/2026,0,LEMD,LEAS,Iberia,IB485,22:00,11,Madrid
01/01/2026,0,LEMD,LEBB,Iberia,IB441,22:10,6,Madrid
01/01/2026,0,LEMD,SBGR,Air China,CA897,22:15,0,Madrid
01/01/2026,1,LEMD,LYBE,Wizz Air,W64040,22:15,34,Madrid
01/01/2026,1,LEMD,EIDW,Ryanair,FR494,22:15,26,Madrid
01/01/2026,0,LEMD,LEVX,Iberia,IB473,22:15,6,Madrid
01/01/2026,1,LEMD,LPPT,easyJet,U27652,22:15,27,Madrid
01/01/2026,0,LEMD,LECO,Iberia,IB463,22:20,7,Madrid
01/01/2026,2,LEMD,LIRF,Wizz Air Malta,W46014,22:25,56,Madrid
01/01/2026,2,LEMD,OTHH,Qatar Airways,QR152,22:25,47,Madrid
01/01/2026,1,LEMD,LIPE,Ryanair,FR1483,22:35,35,Madrid
01/01/2026,0,LEMD,GCTS,Iberia,IB1553,22:45,3,Madrid
01/01/2026,2,LEMD,LIMC,Ryanair,FR9148,22:45,78,Madrid
01/01/2026,0,LEMD,SBGR,LATAM Airlines Chile,LA8065,22:55,10,Madrid
01/01/2026,0,LEMD,LEPA,Iberia,IB1679,23:00,1,Madrid
01/01/2026,0,LEMD,LPPT,Iberia,IB539,23:00,8,Madrid
01/01/2026,0,LEMD,LEVC,Iberia,IB1083,23:00,19,Madrid
01/01/2026,1,LEMD,LLBG,El Al Israel Airlines,LY398,23:05,33,Madrid
01/01/2026,3,LEMD,SCEL,LATAM Airlines Chile,LA705,23:35,91,Madrid
01/01/2026,0,LEMD,SPJC,Air Europa,UX175,23:45,10,Madrid
01/01/2026,1,LEMD,MMMX,Aeroméxico,AM22,23:45,30,Madrid
01/01/2026,0,LEMD,LEVC,Iberia,IB1085,23:45,8,Madrid
