FECHA,GRAVEDAD,ORIGEN_ICAO,DESTINO_ICAO,COMPAÑIA,RETRASO_MIN,HORA_SIN,HORA_COS,MINUTOS_DIA,PRECIP_MOMENTO,TEMP_ESTIMADA,Racha (km/h)
01/01/2026,1,LEMD,GCLP,Air Europa,20,0.9600498543859287,-0.2798290140309919,425,0.0,-2.7,18.0
01/01/2026,1,LEMD,LIMF,Ryanair,35,0.9537169507482269,-0.30070579950427295,430,0.0,-2.7,18.0
01/01/2026,1,LEMD,LFBO,Iberia,43,0.9537169507482269,-0.30070579950427295,430,0.0,-2.7,18.0
01/01/2026,1,LEMD,LEXJ,Iberia,23,0.9537169507482269,-0.30070579950427295,430,0.0,-2.7,18.0
01/01/2026,2,LEMD,LIMC,Air Europa,49,0.9537169507482269,-0.30070579950427295,430,0.0,-2.7,18.0
01/01/2026,1,LEMD,LFPO,Air Europa,38,0.8660254037844387,-0.4999999999999998,480,0.0,1.1,18.0
01/01/2026,1,LEMD,LEIB,Ryanair,37,0.8660254037844387,-0.4999999999999998,480,0.0,1.1,18.0
01/01/2026,1,LEMD,LEVC,Iberia,22,0.8660254037844387,-0.4999999999999998,480,0.0,1.1,18.0
01/01/2026,3,LEMD,OTHH,Iberia,103,0.8433914458128858,-0.5372996083468236,490,0.0,1.1,18.0
01/01/2026,0,LEMD,LEGR,Iberia,12,0.8314696123025451,-0.5555702330196023,495,0.0,1.1,18.0
01/01/2026,0,LEMD,LEPA,Air Europa,12,0.819152044288992,-0.5735764363510458,500,0.0,1.1,18.0
01/01/2026,1,LEMD,LFOB,Ryanair,39,0.819152044288992,-0.5735764363510458,500,0.0,1.1,18.0
01/01/2026,0,LEMD,LEBL,Iberia,16,0.8064446042674828,-0.5913096483635821,505,0.0,1.1,18.0
01/01/2026,0,LEMD,LEVX,Iberia,18,0.8064446042674828,-0.5913096483635821,505,0.0,1.1,18.0
01/01/2026,0,LEMD,LEPA,Ryanair,10,0.8064446042674828,-0.5913096483635821,505,0.0,1.1,18.0
01/01/2026,0,LEMD,LLBG,Air Europa,16,0.7798844830928818,-0.6259234721840591,515,0.0,1.1,18.0
01/01/2026,2,LEMD,LIMC,Ryanair,72,0.766044443118978,-0.6427876096865394,520,0.0,1.1,18.0
01/01/2026,1,LEMD,EDDF,Iberia,32,0.766044443118978,-0.6427876096865394,520,0.0,1.1,18.0
01/01/2026,1,LEMD,LOWW,Iberia,41,0.766044443118978,-0.6427876096865394,520,0.0,1.1,18.0
01/01/2026,3,LEMD,LIRF,Iberia,123,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,1,LEMD,EDDL,Iberia,22,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,0,LEMD,GCRR,Iberia,13,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,1,LEMD,LIML,Iberia,23,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,1,LEMD,LSZH,Iberia,25,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,0,LEMD,GCXO,Iberia,11,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,1,LEMD,EHAM,Iberia,43,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,0,LEMD,SAEZ,Iberia,15,0.7518398074789774,-0.6593458151000688,525,0.0,1.1,18.0
01/01/2026,0,LEMD,EDDM,Iberia,14,0.7372773368101241,-0.6755902076156602,530,0.0,1.1,18.0
01/01/2026,2,LEMD,LEPP,Iberia,75,0.7372773368101241,-0.6755902076156602,530,0.0,1.1,18.0
01/01/2026,0,LEMD,LPPT,easyJet,12,0.7223639620597556,-0.6915130557822693,535,0.0,1.1,18.0
01/01/2026,1,LEMD,LIPZ,Iberia,36,0.7071067811865476,-0.7071067811865475,540,0.0,1.1,18.0
01/01/2026,0,LEMD,EBBR,Iberia,11,0.6915130557822695,-0.7223639620597555,545,0.0,1.1,18.0
01/01/2026,1,LEMD,LFPO,Transavia France,28,0.6915130557822695,-0.7223639620597555,545,0.0,1.1,18.0
01/01/2026,1,LEMD,EGLL,Iberia,25,0.6915130557822695,-0.7223639620597555,545,0.0,1.1,18.0
01/01/2026,0,LEMD,LTFM,Air Europa,13,0.6755902076156604,-0.737277336810124,550,0.0,1.1,18.0
01/01/2026,1,LEMD,LFMN,Iberia,23,0.49999999999999994,-0.8660254037844387,600,0.0,1.1,18.0
01/01/2026,0,LEMD,KMIA,American Airlines,14,0.49999999999999994,-0.8660254037844387,600,0.0,1.1,18.0
01/01/2026,1,LEMD,LFPG,Air France,36,0.49999999999999994,-0.8660254037844387,600,0.0,1.1,18.0
01/01/2026,1,LEMD,EGSS,Ryanair,22,0.49999999999999994,-0.8660254037844387,600,0.0,1.1,18.0
01/01/2026,0,LEMD,KJFK,Delta Air Lines,19,0.49999999999999994,-0.8660254037844387,600,0.0,1.1,18.0
01/01/2026,1,LEMD,LFLL,Iberia,21,0.48098876891938763,-0.8767267557075077,605,0.0,1.1,18.0
01/01/2026,0,LEMD,ESSA,Iberia,13,0.48098876891938763,-0.8767267557075077,605,0.0,1.1,18.0
01/01/2026,0,LEMD,LEPA,Ryanair,12,0.48098876891938763,-0.8767267557075077,605,0.0,1.1,18.0
01/01/2026,2,LEMD,LKPR,Ryanair,71,0.48098876891938763,-0.8767267557075077,605,0.0,1.1,18.0
01/01/2026,2,LEMD,LSZH,Swiss,64,0.4617486132350339,-0.8870108331782217,610,0.0,1.1,18.0
01/01/2026,1,LEMD,EFHK,Finnair,30,0.4617486132350339,-0.8870108331782217,610,0.0,1.1,18.0
01/01/2026,2,LEMD,LEPA,Air Europa,47,0.4422886902190013,-0.8968727415326883,615,0.0,1.1,18.0
01/01/2026,0,LEMD,EGGW,easyJet,18,0.4422886902190013,-0.8968727415326883,615,0.0,1.1,18.0
01/01/2026,2,LEMD,EDDB,Ryanair,48,0.4226182617406995,-0.9063077870366499,620,0.0,1.1,18.0
01/01/2026,1,LEMD,LFML,Iberia,26,0.4226182617406995,-0.9063077870366499,620,0.0,1.1,18.0
